                  authorA	                  authorB	        authorC	Sup(A,B,C)	Sup(A)	Sup(B)	Sup(C)	Con(A)	Con(B)	Con(C)	MinCon	MaxCon
   Anastasios D. Doulamis	     Nikolaos D. Doulamis	               	       122	   253	   170	     0	0.4822	0.7176	0.0000	0.4822	0.7176
      Patrick Girard 0001	            Alberto Bosio	               	       122	   251	   186	     0	0.4861	0.6559	0.0000	0.4861	0.6559
               Cesar Sann	       Edward Szczerbicki	               	       121	   122	   191	     0	0.9918	0.6335	0.0000	0.6335	0.9918
           Yoshiki Kawata	              Noboru Niki	               	       121	   122	   166	     0	0.9918	0.7289	0.0000	0.7289	0.9918
             Jianxin Liao	         Jingyu Wang 0001	               	       121	   172	   159	     0	0.7035	0.7610	0.0000	0.7035	0.7610
                Cong Tian	             Zhenhua Duan	               	       120	   130	   178	     0	0.9231	0.6742	0.0000	0.6742	0.9231
      Honggang Zhang 0001	             Zhifeng Zhao	               	       120	   183	   138	     0	0.6557	0.8696	0.0000	0.6557	0.8696
          Yasuhisa Hirata	          Kazuhiro Kosuge	               	       120	   141	   278	     0	0.8511	0.4317	0.0000	0.4317	0.8511
          Philippe Wenger	           Damien Chablat	               	       120	   143	   242	     0	0.8392	0.4959	0.0000	0.4959	0.8392
             Yo Kobayashi	       Masakatsu G. Fujie	               	       119	   124	   206	     0	0.9597	0.5777	0.0000	0.5777	0.9597
            Concha Bielza	           Pedro Larraaga	               	       119	   139	   242	     0	0.8561	0.4917	0.0000	0.4917	0.8561
       Alberto Pettorossi	        Maurizio Proietti	               	       119	   159	   142	     0	0.7484	0.8380	0.0000	0.7484	0.8380
             Jianhua Feng	         Guoliang Li 0001	               	       119	   176	   259	     0	0.6761	0.4595	0.0000	0.4595	0.6761
            Nader Mohamed	       Jameela Al-Jaroodi	               	       118	   160	   129	     0	0.7375	0.9147	0.0000	0.7375	0.9147
         Takayasu Sakurai	          Makoto Takamiya	               	       118	   190	   132	     0	0.6211	0.8939	0.0000	0.6211	0.8939
        Alessandra Lumini	              Loris Nanni	               	       118	   150	   193	     0	0.7867	0.6114	0.0000	0.6114	0.7867
           Arnaud Virazel	            Alberto Bosio	               	       118	   169	   186	     0	0.6982	0.6344	0.0000	0.6344	0.6982
            Pasquale Lops	          Marco de Gemmis	               	       117	   195	   145	     0	0.6000	0.8069	0.0000	0.6000	0.8069
         Valentin Cristea	               Florin Pop	               	       117	   195	   241	     0	0.6000	0.4855	0.0000	0.4855	0.6000
             Ying-Dar Lin	           Yuan-Cheng Lai	               	       117	   230	   196	     0	0.5087	0.5969	0.0000	0.5087	0.5969
              Maria Fazio	          Massimo Villari	               	       116	   136	   205	     0	0.8529	0.5659	0.0000	0.5659	0.8529
            Mattia Frasca	            Luigi Fortuna	               	       116	   138	   226	     0	0.8406	0.5133	0.0000	0.5133	0.8406
             Minlie Huang	         Xiaoyan Zhu 0001	               	       116	   199	   138	     0	0.5829	0.8406	0.0000	0.5829	0.8406
        Masahiro Morikura	          Takayuki Nishio	               	       116	   192	   141	     0	0.6042	0.8227	0.0000	0.6042	0.8227
          Takayuki Nishio	            Koji Yamamoto	               	       116	   141	   247	     0	0.8227	0.4696	0.0000	0.4696	0.8227
        Masahiro Morikura	          Takayuki Nishio	  Koji Yamamoto	       116	   192	   141	   247	0.6042	0.8227	0.4696	0.4696	0.8227
    Ramn Gonzlez Carvajal	      Jaime Ramrez-Angulo	               	       116	   148	   205	     0	0.7838	0.5659	0.0000	0.5659	0.7838
            Marc Delcroix	        Tomohiro Nakatani	               	       116	   153	   285	     0	0.7582	0.4070	0.0000	0.4070	0.7582
         Christian Steger	           Reinhold Weiss	               	       116	   226	   156	     0	0.5133	0.7436	0.0000	0.5133	0.7436
      Jaime Ramrez-Angulo	    Antonio J. Lpez-Martn	               	       116	   205	   159	     0	0.5659	0.7296	0.0000	0.5659	0.7296
      Patrick Girard 0001	           Arnaud Virazel	  Alberto Bosio	       116	   251	   169	   186	0.4622	0.6864	0.6237	0.4622	0.6864
         Roberto Scopigno	            Paolo Cignoni	               	       116	   239	   170	     0	0.4854	0.6824	0.0000	0.4854	0.6824
              Kris Luyten	             Karin Coninx	               	       116	   172	   205	     0	0.6744	0.5659	0.0000	0.5659	0.6744
        Timothy F. Cootes	Christopher J. Taylor 0001	               	       116	   200	   248	     0	0.5800	0.4677	0.0000	0.4677	0.5800
           Matteo Baldoni	        Cristina Baroglio	               	       115	   151	   125	     0	0.7616	0.9200	0.0000	0.7616	0.9200
          Yong Zhang 0002	            Chunxiao Xing	               	       115	   132	   196	     0	0.8712	0.5867	0.0000	0.5867	0.8712
            Elena Ferrari	        Barbara Carminati	               	       115	   270	   141	     0	0.4259	0.8156	0.0000	0.4259	0.8156
            Jun Yang 0002	             Youtao Zhang	               	       115	   155	   171	     0	0.7419	0.6725	0.0000	0.6725	0.7419
 Giovanni Maria Farinella	      Sebastiano Battiato	               	       115	   165	   245	     0	0.6970	0.4694	0.0000	0.4694	0.6970
       Juan R. Torregrosa	           Alicia Cordero	               	       114	   134	   116	     0	0.8507	0.9828	0.0000	0.8507	0.9828
        Yoshihiko Nankaku	           Keiichi Tokuda	               	       114	   117	   246	     0	0.9744	0.4634	0.0000	0.4634	0.9744
       Vincenza Carchiolo	          Michele Malgeri	               	       114	   132	   120	     0	0.8636	0.9500	0.0000	0.8636	0.9500
          Teruhisa Hochin	            Hiroki Nomiya	               	       114	   146	   120	     0	0.7808	0.9500	0.0000	0.7808	0.9500
         Satoshi Tadokoro	            Masashi Konyo	               	       114	   283	   128	     0	0.4028	0.8906	0.0000	0.4028	0.8906
        Bram Vanderborght	             Dirk Lefeber	               	       114	   194	   130	     0	0.5876	0.8769	0.0000	0.5876	0.8769
         Cristina Silvano	         Gianluca Palermo	               	       114	   165	   160	     0	0.6909	0.7125	0.0000	0.6909	0.7125
         Dilek Hakkani-Tr	                 Gkhan Tr	               	       114	   257	   161	     0	0.4436	0.7081	0.0000	0.4436	0.7081
          Valerio Vignoli	                 Ada Fort	               	       113	   128	   120	     0	0.8828	0.9417	0.0000	0.8828	0.9417
          Kurt Debattista	            Alan Chalmers	               	       113	   141	   241	     0	0.8014	0.4689	0.0000	0.4689	0.8014
            Tomomasa Sato	           Taketoshi Mori	               	       113	   186	   141	     0	0.6075	0.8014	0.0000	0.6075	0.8014
           Ramon Casellas	                Raul Muoz	               	       113	   151	   142	     0	0.7483	0.7958	0.0000	0.7483	0.7958
        Jordi Prez-Romero	               Ramn Agust	               	       113	   196	   144	     0	0.5765	0.7847	0.0000	0.5765	0.7847
            Oriol Sallent	               Ramn Agust	               	       113	   185	   144	     0	0.6108	0.7847	0.0000	0.6108	0.7847
          Mario Cannataro	       Pietro Hiram Guzzi	               	       113	   230	   166	     0	0.4913	0.6807	0.0000	0.4913	0.6807
               Jan Platos	              Pavel Krmer	               	       113	   189	   190	     0	0.5979	0.5947	0.0000	0.5947	0.5979
  Yolanda Blanco-Fernndez	         Martn Lpez Nores	               	       112	   117	   147	     0	0.9573	0.7619	0.0000	0.7619	0.9573
              Tiago Pinto	             Zita A. Vale	               	       112	   123	   250	     0	0.9106	0.4480	0.0000	0.4480	0.9106
           Kiyotaka Izumi	           Keigo Watanabe	               	       112	   132	   262	     0	0.8485	0.4275	0.0000	0.4275	0.8485
                 Yici Cai	          Qiang Zhou 0001	               	       112	   239	   154	     0	0.4686	0.7273	0.0000	0.4686	0.7273
         Toms Lozano-Prez	    Leslie Pack Kaelbling	               	       112	   167	   253	     0	0.6707	0.4427	0.0000	0.4427	0.6707
  Bernab Linares-Barranco	Teresa Serrano-Gotarredona	               	       111	   139	   119	     0	0.7986	0.9328	0.0000	0.7986	0.9328
             Changxin Gao	                Nong Sang	               	       111	   122	   200	     0	0.9098	0.5550	0.0000	0.5550	0.9098
   Flvia Coimbra Delicato	           Paulo F. Pires	               	       111	   151	   126	     0	0.7351	0.8810	0.0000	0.7351	0.8810
Georgios I. Papadimitriou	    Andreas S. Pomportsis	               	       111	   216	   133	     0	0.5139	0.8346	0.0000	0.5139	0.8346
         Emanuele Viterbo	             Yi Hong 0001	               	       111	   254	   145	     0	0.4370	0.7655	0.0000	0.4370	0.7655
                Dian Zhou	           Xuan Zeng 0001	               	       111	   164	   192	     0	0.6768	0.5781	0.0000	0.5781	0.6768
            Mounir Ghogho	      Desmond C. McLernon	               	       111	   246	   173	     0	0.4512	0.6416	0.0000	0.4512	0.6416
      Andrs Iglesias 0001	              Akemi Glvez	               	       110	   155	   114	     0	0.7097	0.9649	0.0000	0.7097	0.9649
             Jae-Yoon Sim	           Hong-June Park	               	       110	   133	   115	     0	0.8271	0.9565	0.0000	0.8271	0.9565
          Norman W. Paton	   Alvaro A. A. Fernandes	               	       110	   267	   134	     0	0.4120	0.8209	0.0000	0.4120	0.8209
          Daisuke Deguchi	           Hiroshi Murase	               	       110	   134	   254	     0	0.8209	0.4331	0.0000	0.4331	0.8209
           L. Rodney Long	         Sameer K. Antani	               	       110	   142	   238	     0	0.7746	0.4622	0.0000	0.4622	0.7746
          Ricardo Martnez	                Raul Muoz	               	       110	   154	   142	     0	0.7143	0.7746	0.0000	0.7143	0.7746
          Atsushi Shimada	     Rin-Ichiro Taniguchi	               	       110	   159	   233	     0	0.6918	0.4721	0.0000	0.4721	0.6918
                Jaan Raik	             Raimund Ubar	               	       110	   177	   169	     0	0.6215	0.6509	0.0000	0.6215	0.6509
          Peter Schelkens	     Adrian Munteanu 0001	               	       110	   177	   198	     0	0.6215	0.5556	0.0000	0.5556	0.6215
        Wenjie Zhang 0001	          Ying Zhang 0001	               	       110	   195	   178	     0	0.5641	0.6180	0.0000	0.5641	0.6180
             Jan Ehrhardt	            Heinz Handels	               	       109	   116	   239	     0	0.9397	0.4561	0.0000	0.4561	0.9397
               Depei Qian	            Zhongzhi Luan	               	       109	   257	   128	     0	0.4241	0.8516	0.0000	0.4241	0.8516
            Olivier Teste	             Franck Ravat	               	       109	   175	   130	     0	0.6229	0.8385	0.0000	0.6229	0.8385
               Ichiro Ide	          Daisuke Deguchi	               	       109	   181	   134	     0	0.6022	0.8134	0.0000	0.6022	0.8134
               Ichiro Ide	          Daisuke Deguchi	 Hiroshi Murase	       109	   181	   134	   254	0.6022	0.8134	0.4291	0.4291	0.8134
           Keith W. Hipel	          D. Marc Kilgour	               	       109	   209	   137	     0	0.5215	0.7956	0.0000	0.5215	0.7956
           Chao Wang 0003	               Xi Li 0003	               	       109	   150	   137	     0	0.7267	0.7956	0.0000	0.7267	0.7956
             Xinjun Sheng	            Xiangyang Zhu	               	       109	   139	   196	     0	0.7842	0.5561	0.0000	0.5561	0.7842
  Paschalis C. Sofotasios	            Sami Muhaidat	               	       109	   174	   239	     0	0.6264	0.4561	0.0000	0.4561	0.6264
            Augusto Sarti	          Fabio Antonacci	               	       108	   241	   113	     0	0.4481	0.9558	0.0000	0.4481	0.9558
         Hironobu Ohmatsu	              Noboru Niki	               	       108	   115	   166	     0	0.9391	0.6506	0.0000	0.6506	0.9391
           Ricard Vilalta	           Ramon Casellas	               	       108	   124	   151	     0	0.8710	0.7152	0.0000	0.7152	0.8710
           Jie Zhang 0006	              Yongli Zhao	               	       108	   165	   126	     0	0.6545	0.8571	0.0000	0.6545	0.8571
            Xin Peng 0001	              Wenyun Zhao	               	       108	   147	   131	     0	0.7347	0.8244	0.0000	0.7347	0.8244
          Ricardo Martnez	           Ramon Casellas	               	       108	   154	   151	     0	0.7013	0.7152	0.0000	0.7013	0.7152
            Fuzhen Zhuang	             Qing He 0003	               	       108	   169	   180	     0	0.6391	0.6000	0.0000	0.6000	0.6391
         Patrizia Grifoni	           Fernando Ferri	               	       107	   112	   125	     0	0.9554	0.8560	0.0000	0.8560	0.9554
         Bradford W. Mott	          James C. Lester	               	       107	   112	   253	     0	0.9554	0.4229	0.0000	0.4229	0.9554
        Mohamed N. Nounou	          Hazem N. Nounou	               	       107	   117	   119	     0	0.9145	0.8992	0.0000	0.8992	0.9145
              Ben Y. Zhao	        Haitao Zheng 0001	               	       107	   198	   122	     0	0.5404	0.8770	0.0000	0.5404	0.8770
       Francesco Bellotti	     Alessandro De Gloria	               	       107	   129	   176	     0	0.8295	0.6080	0.0000	0.6080	0.8295
          Donald D. Cowan	      Paulo S. C. Alencar	               	       107	   161	   141	     0	0.6646	0.7589	0.0000	0.6646	0.7589
      Alessandra Flammini	            Paolo Ferrari	               	       107	   161	   146	     0	0.6646	0.7329	0.0000	0.6646	0.7329
    Pierfrancesco Bellini	               Paolo Nesi	               	       106	   108	   209	     0	0.9815	0.5072	0.0000	0.5072	0.9815
          Richard J. Duro	         Francisco Bellas	               	       106	   198	   111	     0	0.5354	0.9550	0.0000	0.5354	0.9550
       Marie-Lise Flottes	           Bruno Rouzeyre	               	       106	   121	   117	     0	0.8760	0.9060	0.0000	0.8760	0.9060
          Claudia d'Amato	           Nicola Fanizzi	               	       106	   127	   150	     0	0.8346	0.7067	0.0000	0.7067	0.8346
               Lianru Gao	          Bing Zhang 0001	               	       106	   127	   200	     0	0.8346	0.5300	0.0000	0.5300	0.8346
          Katsuhiro Honda	       Hidetomo Ichihashi	               	       106	   197	   134	     0	0.5381	0.7910	0.0000	0.5381	0.7910
              Yoji Yamada	            Shogo Okamoto	               	       106	   173	   137	     0	0.6127	0.7737	0.0000	0.6127	0.7737
         Tanja Lange 0001	      Daniel J. Bernstein	               	       106	   170	   176	     0	0.6235	0.6023	0.0000	0.6023	0.6235
             James Geller	            Yehoshua Perl	               	       106	   196	   182	     0	0.5408	0.5824	0.0000	0.5408	0.5824
        Haiying Wang 0001	              Huiru Zheng	               	       105	   123	   182	     0	0.8537	0.5769	0.0000	0.5769	0.8537
           Ricard Vilalta	                Raul Muoz	               	       105	   124	   142	     0	0.8468	0.7394	0.0000	0.7394	0.8468
             Niki Trigoni	           Andrew Markham	               	       105	   163	   125	     0	0.6442	0.8400	0.0000	0.6442	0.8400
Georgios I. Papadimitriou	     Petros Nicopolitidis	               	       105	   216	   132	     0	0.4861	0.7955	0.0000	0.4861	0.7955
              Xuehai Zhou	           Chao Wang 0003	     Xi Li 0003	       105	   194	   150	   137	0.5412	0.7000	0.7664	0.5412	0.7664
          Giancarlo Succi	         Alberto Sillitti	               	       105	   261	   143	     0	0.4023	0.7343	0.0000	0.4023	0.7343
       Jean-Franois Hlard	        Matthieu Crussire	               	       105	   189	   144	     0	0.5556	0.7292	0.0000	0.5556	0.7292
             Hamid Sharif	           Michael Hempel	               	       104	   225	   107	     0	0.4622	0.9720	0.0000	0.4622	0.9720
             Xinghao Ding	           Yue Huang 0001	               	       104	   142	   108	     0	0.7324	0.9630	0.0000	0.7324	0.9630
        Noriyuki Moriyama	              Noboru Niki	               	       104	   111	   166	     0	0.9369	0.6265	0.0000	0.6265	0.9369
              Rafal Kozik	            Michal Choras	               	       104	   116	   159	     0	0.8966	0.6541	0.0000	0.6541	0.8966
       Xiaoguang Liu 0001	           Gang Wang 0001	               	       104	   124	   120	     0	0.8387	0.8667	0.0000	0.8387	0.8667
         Robert Wang 0001	              Yunkai Deng	               	       104	   155	   123	     0	0.6710	0.8455	0.0000	0.6710	0.8455
            Niki Pissinou	                Kia Makki	               	       104	   183	   128	     0	0.5683	0.8125	0.0000	0.5683	0.8125
             Sung Ik Park	           Heung Mook Kim	               	       104	   132	   143	     0	0.7879	0.7273	0.0000	0.7273	0.7879
        Jordi Prez-Romero	            Oriol Sallent	     Ramn Agust	       104	   196	   185	   144	0.5306	0.5622	0.7222	0.5306	0.7222
              Marc Geilen	              Twan Basten	               	       104	   148	   211	     0	0.7027	0.4929	0.0000	0.4929	0.7027
         Giuseppe Vizzari	         Stefania Bandini	               	       104	   170	   216	     0	0.6118	0.4815	0.0000	0.4815	0.6118
            Kenichi Okada	          Akira Matsuzawa	               	       104	   194	   192	     0	0.5361	0.5417	0.0000	0.5361	0.5417
           Jayaraj Joseph	Mohanasankar Sivaprakasam	               	       103	   109	   176	     0	0.9450	0.5852	0.0000	0.5852	0.9450
        Dongyan Zhao 0001	             Rui Yan 0001	               	       103	   227	   114	     0	0.4537	0.9035	0.0000	0.4537	0.9035
               Ali Saberi	      Anton A. Stoorvogel	               	       103	   164	   118	     0	0.6280	0.8729	0.0000	0.6280	0.8729
             Li Shen 0001	         Andrew J. Saykin	               	       103	   162	   120	     0	0.6358	0.8583	0.0000	0.6358	0.8583
            Gal Varoquaux	         Bertrand Thirion	               	       103	   146	   181	     0	0.7055	0.5691	0.0000	0.5691	0.7055
         Hironobu Ohmatsu	             Kenji Eguchi	               	       102	   115	   106	     0	0.8870	0.9623	0.0000	0.8870	0.9623
     Francesco Buccafurri	             Gianluca Lax	               	       102	   159	   109	     0	0.6415	0.9358	0.0000	0.6415	0.9358
           Riccardo Berta	       Francesco Bellotti	               	       102	   111	   129	     0	0.9189	0.7907	0.0000	0.7907	0.9189
             Paul Suetens	        Dirk Vandermeulen	               	       102	   222	   118	     0	0.4595	0.8644	0.0000	0.4595	0.8644
          Gary Klein 0001	           James J. Jiang	               	       102	   120	   122	     0	0.8500	0.8361	0.0000	0.8361	0.8500
           Bing Chen 0001	                Chong Lin	               	       102	   133	   163	     0	0.7669	0.6258	0.0000	0.6258	0.7669
            Lionel Torres	        Gilles Sassatelli	               	       102	   193	   151	     0	0.5285	0.6755	0.0000	0.5285	0.6755
              Qianhong Wu	                   Bo Qin	               	       102	   198	   169	     0	0.5152	0.6036	0.0000	0.5152	0.6036
  Farookh Khadeer Hussain	     Omar Khadeer Hussain	               	       102	   248	   171	     0	0.4113	0.5965	0.0000	0.4113	0.5965
             Mei-Hui Wang	          Chang-Shing Lee	               	       101	   105	   145	     0	0.9619	0.6966	0.0000	0.6966	0.9619
        Hiroshi Kawaguchi	           Shintaro Izumi	               	       101	   195	   106	     0	0.5179	0.9528	0.0000	0.5179	0.9528
           Shintaro Izumi	       Masahiko Yoshimoto	               	       101	   106	   186	     0	0.9528	0.5430	0.0000	0.5430	0.9528
               Junyan Ren	              Fan Ye 0001	               	       101	   162	   107	     0	0.6235	0.9439	0.0000	0.6235	0.9439
Sabrina De Capitani di Vimercati	             Sara Foresti	               	       101	   221	   111	     0	0.4570	0.9099	0.0000	0.4570	0.9099
           Yang Song 0001	         Weidong Cai 0001	               	       101	   115	   190	     0	0.8783	0.5316	0.0000	0.5316	0.8783
    Valeria De Antonellis	          Devis Bianchini	               	       101	   169	   120	     0	0.5976	0.8417	0.0000	0.5976	0.8417
         Sebastiano Vigna	              Paolo Boldi	               	       101	   151	   139	     0	0.6689	0.7266	0.0000	0.6689	0.7266
          Ricardo Martnez	           Ramon Casellas	      Raul Muoz	       101	   154	   151	   142	0.6558	0.6689	0.7113	0.6558	0.7113
             Antonio Iera	         Giuseppe Araniti	               	       101	   237	   148	     0	0.4262	0.6824	0.0000	0.4262	0.6824
             Gangyi Jiang	                Feng Shao	               	       101	   219	   148	     0	0.4612	0.6824	0.0000	0.4612	0.6824
           Yaser Jararweh	        Mahmoud Al-Ayyoub	               	       101	   235	   151	     0	0.4298	0.6689	0.0000	0.4298	0.6689
             John Makhoul	      Richard M. Schwartz	               	       101	   157	   224	     0	0.6433	0.4509	0.0000	0.4509	0.6433
             A. A. Zaidan	             B. B. Zaidan	               	       100	   105	   103	     0	0.9524	0.9709	0.0000	0.9524	0.9709
             Kenji Eguchi	              Noboru Niki	               	       100	   106	   166	     0	0.9434	0.6024	0.0000	0.6024	0.9434
           Yoshinori Kuno	      Yoshinori Kobayashi	               	       100	   200	   111	     0	0.5000	0.9009	0.0000	0.5000	0.9009
    Eric A. M. Klumperink	               Bram Nauta	               	       100	   112	   181	     0	0.8929	0.5525	0.0000	0.5525	0.8929
              Jiajun Chen	            Shujian Huang	               	       100	   157	   112	     0	0.6369	0.8929	0.0000	0.6369	0.8929
  Yolanda Blanco-Fernndez	     Jos Juan Pazos-Arias	               	       100	   117	   175	     0	0.8547	0.5714	0.0000	0.5714	0.8547
             Sasko Ristov	             Marjan Gusev	               	       100	   119	   188	     0	0.8403	0.5319	0.0000	0.5319	0.8403
            Chunheng Wang	              Baihua Xiao	               	       100	   129	   122	     0	0.7752	0.8197	0.0000	0.7752	0.8197
             Zhengyuan Xu	           Chen Gong 0001	               	       100	   237	   131	     0	0.4219	0.7634	0.0000	0.4219	0.7634
